Bayesian	Gram negative	Gram positive
FIG094199: Fumarylacetoacetate hydrolase	-6.90775527898214	-1.93565364888812
Flagellar regulatory protein FleQ	-6.90775527898214	-0.724563376793324
Multidrug transporter MdtC	-6.90775527898214	-1.86666077740117
Universal stress protein B	-6.90775527898214	-1.63027199933694
ABC-type Fe3+ transport system, periplasmic component	-6.90775527898214	-1.01936291701397
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)	-6.90775527898214	-1.01936291701397
Transcriptional regulatory protein zraR	-6.90775527898214	-1.68433922060722
Transcriptional regulator for fatty acid degradation FadR, GntR family	-6.90775527898214	-1.24250646832818
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54) ## AroA I alpha	-6.90775527898214	-1.17351359684123
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	-6.90775527898214	-1.35583515363518
NnrU family protein, required for expression of nitric oxide and nitrite reductases (Nir and Nor)	-6.90775527898214	-1.83387095457818
Uncharacterized hydroxylase PA0655	-6.90775527898214	-1.8021222562636
Fumarate and nitrate reduction regulatory protein	-6.90775527898214	-1.09347088916769
FIG001154: CcsA-related protein	-6.90775527898214	-0.873409004390889
COG3536: Uncharacterized protein conserved in bacteria	-6.90775527898214	-1.41771055735327
Transcriptional regulatory protein basR/pmrA	-6.90775527898214	-1.71251009757391
Arginine N-succinyltransferase (EC 2.3.1.109)	-6.90775527898214	-0.885831524389447
Glutamyl-tRNA synthetase (EC 6.1.1.17) ## unambiguous	-6.90775527898214	-1.17351359684123
Putative 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	-6.90775527898214	-1.86666077740117
Penicillin-binding protein 2B	-0.769133087537867	-6.90775527898214
aminoglycoside phosphotransferase family protein	-0.247836163904581	-6.90775527898214
Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter	-0.494696241836107	-6.90775527898214
Protein ImpG/VasA	-6.90775527898214	-0.0973741640251764
Putative translation initiation inhibitor YoaB	-6.90775527898214	-1.90056232907685
Putative hydrolase YcdX (EC 3.1.-.-)	-6.90775527898214	-1.93565364888812
Beta-ketoadipyl CoA thiolase (EC 2.3.1.-)	-6.90775527898214	-1.8021222562636
Soluble aldose sugar dehydrogenase, PQQ-dependent (EC 1.1.5.-)	-6.90775527898214	-1.93565364888812
Transcriptional activator protein LysR	-6.90775527898214	-1.53018854077996
Glutamate Aspartate transport system permease protein GltK (TC 3.A.1.3.4)	-6.90775527898214	-0.439544421761027
Sarcosine oxidase delta subunit (EC 1.5.3.1)	-6.90775527898214	-1.22480689122878
Thiopurine S-methyltransferase (EC 2.1.1.67)	-6.90775527898214	-1.77135059759685
Uncharacterized protein ImpF	-6.90775527898214	-0.991192040047273
Cysteine ABC transporter, substrate-binding protein	-0.600056757493933	-6.90775527898214
Integration host factor beta subunit	-6.90775527898214	-0.192684343829501
Uncharacterized protein UPF0344	-0.823200308808143	-6.90775527898214
rRNA small subunit methyltransferase J # 16S rRNA m(2) G1516 methyltransferase	-6.90775527898214	-1.74149763444717
FOG: EAL domain	-6.90775527898214	-1.06316553967236
Prophage tail fiber protein	-6.90775527898214	-1.77135059759685
cell surface hydrolase (putative)	-0.972732042779107	-6.90775527898214
Acriflavin resistance plasma membrane protein	-6.90775527898214	-1.8021222562636
Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)	-6.90775527898214	-0.277425572284592
FIG011501: YycH protein	-0.717839793150317	-6.90775527898214
Cytochrome c-type protein NrfB precursor	-6.90775527898214	-1.60429651293368
Putative cysteine desulfurase, associated with tRNA 4-thiouridine synthase	-0.346276236717834	-6.90775527898214
Cellulose synthase operon protein C	-6.90775527898214	-1.29756624551121
Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	-6.90775527898214	-1.74149763444717
Murein endopeptidase	-6.90775527898214	-1.1247234326718
Phage tail sheath monomer	-6.90775527898214	-1.00517828202201
Undecaprenol kinase (EC 2.7.1.66)	-0.972732042779107	-6.90775527898214
Putative sugar ABC transport system, periplasmic binding protein YtfQ precursor	-6.90775527898214	-1.8021222562636
Tetrathionate reductase sensory transduction histidine kinase	-6.90775527898214	-1.90056232907685
Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	-6.90775527898214	-0.326215736454024
Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	-6.90775527898214	-0.825206902573012
FIG121501: Prophage tail protein	-6.90775527898214	-1.57897870494939
LysR-family transcriptional regulator clustered with PA0057	-6.90775527898214	-1.53018854077996
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	-6.90775527898214	-0.120363682249875
2-methylaconitate isomerase	-6.90775527898214	-1.20741514851691
Predicted transcriptional regulator for fatty acid degradation FadQ, TetR family	-6.90775527898214	-1.46119566929301
Membrane-bound lysozyme inhibitor of c-type lysozyme	-6.90775527898214	-1.60429651293368
16 kDa heat shock protein A	-6.90775527898214	-0.623467259921956
Chemotaxis response - phosphatase CheZ	-6.90775527898214	-0.873409004390889
Transcriptional regulator, PBSX family	-0.910211685797773	-6.90775527898214
TrkA, Potassium channel-family protein	-6.90775527898214	-1.60429651293368
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	-6.90775527898214	-1.8021222562636
N-formylglutamate deformylase (EC 3.5.1.68)	-6.90775527898214	-1.03375165446607
FIG009210: peptidase, M16 family	-0.329181803358534	-6.90775527898214
Rhodanese-related sulfurtransferases	-6.90775527898214	-1.8021222562636
PutR, transcriptional activator of PutA and PutP	-6.90775527898214	-1.93565364888812
PsiE protein	-6.90775527898214	-1.93565364888812
Phage shock protein B	-6.90775527898214	-1.3166144404819
Transcriptional activator MetR	-6.90775527898214	-0.633129170833692
Phosphoglycerol transferase I (EC 2.7.8.20)	-6.90775527898214	-1.19032071515761
FIG007303: uncharacterized protein	-1.03942341727778	-6.90775527898214
Lysophospholipase L2 (EC 3.1.1.5)	-6.90775527898214	-0.963793065859158
P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	-6.90775527898214	-1.90056232907685
Propionyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.3)	-6.90775527898214	-1.86666077740117
BarA sensory histidine kinase (= VarS = GacS)	-6.90775527898214	-0.873409004390889
HTH-type transcriptional regulator hdfR	-6.90775527898214	-1.90056232907685
Flagellar L-ring protein FlgH	-6.90775527898214	-0.263911853117869
LysR-family transcriptional regulator YdhB	-6.90775527898214	-1.71251009757391
Thiamin ABC transporter, ATPase component / Thiamine transport ATP-binding protein thiQ	-6.90775527898214	-1.41771055735327
Cell wall-binding protein	-0.172612742666994	-6.90775527898214
Paraquat-inducible protein A # parolog	-6.90775527898214	-1.74149763444717
UPF0304 protein yfbU	-6.90775527898214	-1.86666077740117
tRNA 5-methylaminomethyl-2-thiouridine synthase TusB	-6.90775527898214	-1.22480689122878
Iron-uptake factor PiuC	-6.90775527898214	-1.19032071515761
NHL repeat domain protein	-6.90775527898214	-1.77135059759685
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	-6.90775527898214	-1.55428609235902
putative 2-pyrone-4,6-dicarboxylic acid hydrolase	-6.90775527898214	-1.57897870494939
Aromatic ring-cleaving dioxygenase	-6.90775527898214	-1.86666077740117
Flagellar transcriptional activator FlhC	-6.90775527898214	-1.43921676257423
Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1	-0.329181803358534	-6.90775527898214
LysR family transcriptional regulator lrhA	-6.90775527898214	-1.63027199933694
cell surface protein precursor	-0.0892311337279426	-6.90775527898214
Forms the bulk of type IV secretion complex that spans outer membrane and periplasm (VirB9)	-6.90775527898214	-1.1247234326718
Rtn protein	-6.90775527898214	-0.837041360220015
Arginine decarboxylase (EC 4.1.1.19) / Lysine decarboxylase (EC 4.1.1.18)	-0.645519131570691	-6.90775527898214
3-oxoacyl-[ACP] synthase	-6.90775527898214	-1.22480689122878
Universal stress protein E	-6.90775527898214	-1.26052497383086
Chromosome partition protein MukF	-6.90775527898214	-1.41771055735327
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like	-6.90775527898214	-1.39665714815544
Aldose 1-epimerase family protein YeaD	-6.90775527898214	-1.71251009757391
Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.-)	-6.90775527898214	-1.93565364888812
Glutaredoxin 1	-6.90775527898214	-1.3166144404819
YjbG polysaccharide synthesis-related protein	-6.90775527898214	-1.63027199933694
ABC transporter permease protein YvcS	-0.279584862219162	-6.90775527898214
Putative inner membrane protein YjeT (clustered with HflC)	-6.90775527898214	-0.898410306596307
Putative capsular polysaccharide transport protein YegH	-6.90775527898214	-1.8021222562636
Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB3)	-6.90775527898214	-1.46119566929301
PTS system nitrogen-specific IIA component, PtsN	-6.90775527898214	-1.09347088916769
Outer membrane lipoprotein OmlA	-6.90775527898214	-1.55428609235902
Twin-arginine translocation protein TatCd	-0.972732042779107	-6.90775527898214
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 1	-6.90775527898214	-1.10897507570366
Serine/threonine protein phosphatase 1 (EC 3.1.3.16)	-6.90775527898214	-1.8021222562636
Outer membrane protein C precursor	-6.90775527898214	-0.924052737209644
Inner membrane protein YccF	-6.90775527898214	-1.8021222562636
NAD-dependent formate dehydrogenase delta subunit	-6.90775527898214	-1.86666077740117
Qercetin 2,3-dioxygenase	-6.90775527898214	-1.90056232907685
putative arylalkylamine n-acetyltransferase	-1.07451473708905	-6.90775527898214
Citrate-proton symporter	-6.90775527898214	-1.71251009757391
Shikimate kinase III (EC 2.7.1.71)	-6.90775527898214	-1.90056232907685
Medium to long chain fatty acid-CoA thioesterase FadM	-6.90775527898214	-1.93565364888812
response regulator DrrA	-0.346276236717834	-6.90775527898214
TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins	-6.90775527898214	-0.243977638217052
Addiction module antidote protein	-6.90775527898214	-1.90056232907685
Uncharacterized protein similar to VCA0109	-6.90775527898214	-1.19032071515761
Putative cell envelope opacity-associated protein A	-6.90775527898214	-1.86666077740117
CheW domain protein	-6.90775527898214	-1.86666077740117
Plasmid replication protein RepC	-6.90775527898214	-1.55428609235902
Putative deoxyribonuclease YjjV	-6.90775527898214	-0.585726931939108
N-ethylmaleimide reductase (EC 1.-.-.-)	-6.90775527898214	-1.09347088916769
General secretion pathway protein C	-6.90775527898214	-0.746069582014288
Transcriptional regulator SlyA	-6.90775527898214	-1.39665714815544
Choline-glycine betaine transporter	-6.90775527898214	-1.86666077740117
Spore germination protein GerKB	-0.972732042779107	-6.90775527898214
Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)	-6.90775527898214	-1.68433922060722
Lysine decarboxylase, inducible (EC 4.1.1.18)	-6.90775527898214	-1.55428609235902
Nitrous oxide reductase maturation protein NosR	-6.90775527898214	-1.86666077740117
Putative metallopeptidase (Zinc) SprT family	-0.436427333712131	-6.90775527898214
Possible protease sohB (EC 3.4.21.-)	-6.90775527898214	-1.17351359684123
Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	-6.90775527898214	-0.604419064951261
Ribosome hibernation protein YfiA	-6.90775527898214	-1.29756624551121
Translation elongation factor P Lys34:lysine transferase	-6.90775527898214	-0.724563376793324
Putative OMR family iron-siderophore receptor precursor	-6.90775527898214	-1.74149763444717
Probable outer membrane protein	-6.90775527898214	-1.74149763444717
Methyl-accepting chemotaxis signal transduction protein	-6.90775527898214	-1.71251009757391
Probable vanillate O-demethylase oxygenase subunit oxidoreductase protein (EC 1.14.13.-)	-6.90775527898214	-1.90056232907685
Microbial collagenase, secreted (EC 3.4.24.3)	-6.90775527898214	-1.53018854077996
Late competence protein ComGA, access of DNA to ComEA	-0.295845383090942	-6.90775527898214
Putative NAD(P)-dependent oxidoreductase EC-YbbO	-6.90775527898214	-1.10897507570366
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD	-6.90775527898214	-0.801950040408744
3-ketoacyl-CoA thiolase (EC 2.3.1.16) ## anaerobic beta-oxidation pathway	-6.90775527898214	-1.77135059759685
Beta-1,4-galactosyltransferase	-6.90775527898214	-1.8021222562636
IncF plasmid conjugative transfer protein TraN	-6.90775527898214	-1.83387095457818
Uncharacterized PLP-dependent aminotransferase YfdZ	-6.90775527898214	-1.74149763444717
FIG004136: Prepilin peptidase dependent protein C precursor	-6.90775527898214	-1.86666077740117
RND efflux system, membrane fusion protein CmeA	-6.90775527898214	-0.415827895143711
Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	-6.90775527898214	-1.90056232907685
Channel-forming transporter/cytolysins activator of TpsB family	-6.90775527898214	-0.873409004390889
Protein involved in meta-pathway of phenol degradation	-6.90775527898214	-1.41771055735327
Putative metalloprotease yggG (EC 3.4.24.-)	-6.90775527898214	-1.50665804336977
Predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor protein YbhG	-6.90775527898214	-0.790521344585122
/ Glutamine transport system permease protein GlnP (TC 3.A.1.3.2)	-1.07451473708905	-6.90775527898214
Late competence protein ComGF, access of DNA to ComEA, FIG012620	-0.622529613345992	-6.90775527898214
NADPH-dependent broad range aldehyde dehydrogenase YqhD	-6.90775527898214	-1.93565364888812
rickettsial conserved	-6.90775527898214	-0.724563376793324
Flagellar biosynthesis protein FliT	-6.90775527898214	-1.43921676257423
Lipoprotein NlpD	-6.90775527898214	-0.576510276834184
DnaK-related protein	-6.90775527898214	-1.90056232907685
Putative bacteriophage-related protein	-6.90775527898214	-1.6569402464191
core protein	-6.90775527898214	-0.613897808905805
SgrR, sugar-phosphate stress, transcriptional activator of SgrS small RNA	-6.90775527898214	-1.55428609235902
FIG002649: ydiI hotdog fold superfamily	-6.90775527898214	-1.93565364888812
Protein yifE	-6.90775527898214	-1.57897870494939
glucose uptake protein	-0.769133087537867	-6.90775527898214
Nitrogen regulation protein NtrC	-6.90775527898214	-0.861138911799075
Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	-6.90775527898214	-0.937124818776997
FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase	-6.90775527898214	-1.8021222562636
Outer membrane lipoprotein pcp precursor	-6.90775527898214	-1.86666077740117
Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)	-6.90775527898214	-0.746069582014288
Periplasmic Murein Peptide-Binding Protein MppA	-6.90775527898214	-1.90056232907685
FIG001881: hydrolase of alkaline phosphatase superfamily	-6.90775527898214	-1.336032526339
Cell division protein FtsN	-6.90775527898214	-1.22480689122878
Stage 0 sporulation two-component response regulator (Spo0A)	-1.07451473708905	-6.90775527898214
FIG001587: exported protein	-6.90775527898214	-1.0782034170369
33 kDa chaperonin (Heat shock protein 33) (HSP33)	-6.90775527898214	-0.682890680392756
Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) @ Exopolyphosphatase (EC 3.6.1.11)	-6.90775527898214	-1.60429651293368
PTS system, lactose-specific IIB component (EC 2.7.1.69) / PTS system, lactose-specific IIC component (EC 2.7.1.69)	-0.823200308808143	-6.90775527898214
Dipeptidyl peptidase IV	-6.90775527898214	-1.27887411249905
Cell processes; Transport of small molecules	-6.90775527898214	-1.93565364888812
Extracellular deoxyribonuclease Dns (EC 3.1.21.-)	-6.90775527898214	-1.53018854077996
DNA primase (EC 2.7.7.-), phage-associated	-6.90775527898214	-1.39665714815544
Succinylglutamate desuccinylase/aspartoacylase	-6.90775527898214	-1.48366852514507
Shufflon-specific DNA recombinase	-6.90775527898214	-1.93565364888812
Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	-6.90775527898214	-1.3760378609527
Transcriptional repressor for NAD biosynthesis in gram-positives	-0.455475528682826	-6.90775527898214
IncF plasmid conjugative transfer pilus assembly protein TraC	-6.90775527898214	-1.71251009757391
FIGfam010717	-6.90775527898214	-1.63027199933694
Outer membrane stress sensor protease DegS	-6.90775527898214	-0.911149332373736
Acetylpolyamine aminohydrolase	-6.90775527898214	-1.74149763444717
Phosphocarrier protein, nitrogen regulation associated	-6.90775527898214	-0.531659710668833
16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) ## SSU rRNA m5C967	-6.90775527898214	-0.801950040408744
Phage FluMu protein gp47	-6.90775527898214	-1.60429651293368
Dna binding response regulator PrrA (RegA)	-6.90775527898214	-1.01936291701397
Novel pyridoxal kinase, thiD family (EC 2.7.1.35)	-0.381367556529104	-6.90775527898214
General secretion pathway protein H	-6.90775527898214	-0.652737642222069
DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)	-0.880358722648092	-6.90775527898214
Putative pheromone cAM373 precursor lipoprotein CamS	-0.693147180559945	-6.90775527898214
Phage tail assembly protein I	-6.90775527898214	-0.963793065859158
Histidine kinase of the competence regulon ComD	-0.494696241836107	-6.90775527898214
possible tetrapyrrole methyltransferase domain / Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)	-0.972732042779107	-6.90775527898214
Thiol:disulfide interchange protein DsbC	-6.90775527898214	-0.505684224265572
Diacylglycerol kinase, Bacillus type (EC 2.7.1.107)	-0.535518236356362	-6.90775527898214
IS, phage, Tn; Transposon-related functions	-6.90775527898214	-1.01936291701397
Fosfomycin resistance protein FosB	-1.03942341727778	-6.90775527898214
Stage V sporulation protein AD (SpoVAD)	-0.769133087537867	-6.90775527898214
Protease III precursor (EC 3.4.24.55)	-6.90775527898214	-1.1247234326718
Sensor histidine kinase colocalized with HrtAB transporter	-0.795801334620029	-6.90775527898214
Sodium:dicarboxylate symporter	-6.90775527898214	-1.74149763444717
N-acetylglucosamine-regulated outer membrane porin	-6.90775527898214	-1.71251009757391
FIG002465: BNR repeat protein	-6.90775527898214	-1.71251009757391
Putative resistance protein	-6.90775527898214	-1.93565364888812
FIG137864: putative endonuclease containing a URI domain	-6.90775527898214	-1.90056232907685
Uncharacterized metabolite ABC transporter in Enterobacteriaceae, permease protein EC-YbbP	-6.90775527898214	-1.86666077740117
Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	-6.90775527898214	-0.230905556649699
Copper sensory histidine kinase CpxA	-6.90775527898214	-1.1247234326718
Primosomal protein I	-6.90775527898214	-1.01936291701397
tRNA (5-methoxyuridine) 34 synthase	-6.90775527898214	-0.735258665910072
Transcriptional repressor of PutA and PutP / Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	-6.90775527898214	-1.35583515363518
Sigma factor RpoE negative regulatory protein RseB precursor	-6.90775527898214	-0.84901755126673
Phospholipase C	-6.90775527898214	-1.57897870494939
Predicted P-loop ATPase fused to an acetyltransferase COG1444	-6.90775527898214	-1.27887411249905
Uncharacterized protein YqjB	-6.90775527898214	-1.93565364888812
Modulator of drug activity B	-6.90775527898214	-1.24250646832818
Transcriptional regulator, ArsR family / Methyltransferase fusion	-6.90775527898214	-1.6569402464191
Deoxyribonucleoside regulator DeoR (transcriptional repressor)	-0.769133087537867	-6.90775527898214
Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	-6.90775527898214	-1.06316553967236
Poly(A) polymerase (EC 2.7.7.19)	-6.90775527898214	-0.531659710668833
Chloride channel protein EriC	-6.90775527898214	-1.86666077740117
ABC transporter, permease protein EscB	-0.312374685042152	-6.90775527898214
DNA-damage-inducible protein I	-6.90775527898214	-1.55428609235902
Transcriptional (co)regulator CytR	-6.90775527898214	-1.39665714815544
Putative esterase, FIGfam005057	-6.90775527898214	-0.861138911799075
ABC-type transport system involved in resistance to organic solvents, periplasmic component	-6.90775527898214	-1.74149763444717
StbD replicon stabilization protein (antitoxin to StbE)	-6.90775527898214	-1.60429651293368
Spore coat protein F	-0.880358722648092	-6.90775527898214
Chorismate mutase I (EC 5.4.99.5) / Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43) # NAD-specific	-6.90775527898214	-1.41771055735327
Carboxypeptidase C (cathepsin A)	-6.90775527898214	-1.48366852514507
Membrane component of multidrug resistance system	-0.85137118577484	-6.90775527898214
Late competence protein ComC, processing protease	-0.85137118577484	-6.90775527898214
Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)	-6.90775527898214	-1.71251009757391
Transporter associated with VraSR	-0.823200308808143	-6.90775527898214
Cellulose synthase, putative	-6.90775527898214	-1.48366852514507
Transcription elongation factor GreB	-6.90775527898214	-0.43157625211185
proline/betaine transporter	-6.90775527898214	-1.60429651293368
Hydrolase, alpha/beta fold family protein	-0.823200308808143	-6.90775527898214
Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)	-6.90775527898214	-1.09347088916769
Uncharacterized protein ynbE; probable lipoprotein STY1424	-6.90775527898214	-1.3760378609527
HYPOTHETICAL/UNKNOWN PROTEIN	-6.90775527898214	-1.53018854077996
Na+/H+ antiporter NhaB	-6.90775527898214	-1.09347088916769
ABC-type anion transport system, duplicated permease component	-6.90775527898214	-1.68433922060722
Xylitol dehydrogenase	-0.769133087537867	-6.90775527898214
Predicted pyridoxine biosynthesis protein (probably from glycolaldehide)	-6.90775527898214	-1.1247234326718
ATP-dependent helicase DinG/Rad3	-6.90775527898214	-1.04835045388722
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	-6.90775527898214	-0.447576593458291
Spore cortex-lytic enzyme, lytic transglycosylase SleB	-0.880358722648092	-6.90775527898214
HTH-type transcriptional regulator zntR	-6.90775527898214	-1.83387095457818
Chaperone protein fimC precursor	-6.90775527898214	-1.8021222562636
FIG138928: iron-regulated membrane protein	-6.90775527898214	-1.93565364888812
Nitrogen regulation protein NtrB (EC 2.7.13.3)	-6.90775527898214	-0.950370045527018
Putative ATPase component of ABC transporter with duplicated ATPase domain	-6.90775527898214	-1.77135059759685
Secreted protein Hcp	-6.90775527898214	-1.27887411249905
Type I secretion outer membrane protein, TolC precursor	-6.90775527898214	-0.270645885299213
Cytochrome c-type protein TorY	-6.90775527898214	-1.55428609235902
Flagellar basal-body P-ring formation protein FlgA	-6.90775527898214	-0.347877233235203
Malonate decarboxylase gamma subunit	-6.90775527898214	-1.83387095457818
Outer membrane lipoprotein YidQ	-6.90775527898214	-1.90056232907685
Putative lipid carrier protein	-6.90775527898214	-1.93565364888812
Iron binding protein IscA for iron-sulfur cluster assembly	-6.90775527898214	-0.531659710668833
Prephenate dehydrogenase (EC 1.3.1.12) # TyrAp/ACT domain, NAD-specific	-0.795801334620029	-6.90775527898214
Outer membrane lipoprotein LolB	-6.90775527898214	-0.672738308928738
miscellaneous; not classified regulator	-6.90775527898214	-1.90056232907685
COG1451: Predicted metal-dependent hydrolase	-6.90775527898214	-1.0782034170369
probable ribonuclease inhibitor YPO3690	-6.90775527898214	-1.93565364888812
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	-6.90775527898214	-0.455673803690911
RNA polymerase sporulation specific sigma factor SigH	-0.743157601134607	-6.90775527898214
DNA-binding response regulator ChvI	-6.90775527898214	-1.77135059759685
ATP-dependent RNA helicase SrmB	-6.90775527898214	-1.06316553967236
Ferrous iron-sensisng transcriptional regulator FeoC	-6.90775527898214	-1.90056232907685
Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)	-6.90775527898214	-1.57897870494939
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)	-0.247836163904581	-6.90775527898214
Type IV fimbrial biogenesis protein PilV	-6.90775527898214	-1.19032071515761
23S rRNA (guanine-N-2-) -methyltransferase rlmG (EC 2.1.1.-)	-6.90775527898214	-1.71251009757391
Similar to C-terminal Zn-finger domain of DNA topoisomerase I	-6.90775527898214	-1.35583515363518
Flp pilus assembly protein TadD, contains TPR repeat	-6.90775527898214	-1.04835045388722
Transcriptional activator of cad operon	-6.90775527898214	-1.86666077740117
ClpXP protease specificity-enhancing factor / Stringent starvation protein B	-6.90775527898214	-1.74149763444717
Galactose-binding protein regulator	-6.90775527898214	-1.83387095457818
Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases, YtcI homolog	-0.823200308808143	-6.90775527898214
Putative cytochrome d ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome bd-I oxidase subunit III)	-6.90775527898214	-1.43921676257423
MCE-family lipoprotein LprK (MCE-family lipoprotein Mce1e)	-1.03942341727778	-6.90775527898214
TsgA protein homolog	-6.90775527898214	-1.63027199933694
Putative lipoprotein yceB precursor	-6.90775527898214	-1.8021222562636
Low temperature requirement C protein	-0.717839793150317	-6.90775527898214
Stringent starvation protein A	-6.90775527898214	-0.613897808905805
CBS domain protein, lmo1865 homolog	-0.622529613345992	-6.90775527898214
Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)	-6.90775527898214	-0.576510276834184
SapC-like S-layer protein	-6.90775527898214	-1.63027199933694
YciL protein	-6.90775527898214	-0.585726931939108
Mitochondrial processing peptidase-like protein (EC 3.4.24.64)	-6.90775527898214	-1.63027199933694
Regulatory protein AsnC	-6.90775527898214	-1.24250646832818
YcfL protein: an outer membrane lipoprotein that is part of a salvage cluster	-6.90775527898214	-1.53018854077996
D-ribulokinase (EC 2.7.1.47)	-6.90775527898214	-1.90056232907685
Starvation lipoprotein Slp paralog	-6.90775527898214	-1.24250646832818
Succinylglutamate desuccinylase (EC 3.5.1.96)	-6.90775527898214	-0.911149332373736
FIG006045: Sigma factor, ECF subfamily	-6.90775527898214	-1.35583515363518
Plasmid replication protein RepA	-6.90775527898214	-1.19032071515761
Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3)	-6.90775527898214	-1.35583515363518
Aminotransferase class-III	-6.90775527898214	-1.22480689122878
D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	-6.90775527898214	-1.3166144404819
Tandem lipoprotein within Pathogenicity island	-0.474893614539927	-6.90775527898214
Phage (Mu-like) virion morphogenesis protein	-6.90775527898214	-1.90056232907685
Dihydroneopterin triphosphate pyrophosphohydolase type 2	-6.90775527898214	-1.26052497383086
bacterial seryl-tRNA synthetase related	-0.910211685797773	-6.90775527898214
InsA protein (Fragment)	-6.90775527898214	-0.735258665910072
Sigma-fimbriae tip adhesin	-6.90775527898214	-1.01936291701397
NADH:ubiquinone oxidoreductase 17.2 kD subunit	-6.90775527898214	-1.57897870494939
Zinc-regulated outer membrane receptor	-6.90775527898214	-1.57897870494939
macromolecule metabolism; macromolecule degradation; degradation of proteins, peptides, glycopeptides	-6.90775527898214	-1.04835045388722
Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)	-6.90775527898214	-1.46119566929301
Protein SlyX	-6.90775527898214	-1.86666077740117
NhaP-type Na+/H+ and K+/H+ antiporters	-6.90775527898214	-1.83387095457818
Fatty acid desaturase	-6.90775527898214	-1.19032071515761
DamX, an inner membrane protein involved in bile resistance	-6.90775527898214	-1.24250646832818
SAM-dependent methyltransferase 2, in cluster with Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	-6.90775527898214	-1.93565364888812
Aerobic respiration control protein arcA	-6.90775527898214	-1.24250646832818
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	-6.90775527898214	-0.305013528803421
Phage tail completion protein	-6.90775527898214	-1.68433922060722
Nucleotide excision repair protein, with UvrB/UvrC motif	-0.645519131570691	-6.90775527898214
