REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn00160_c0	D-malic enzyme (EC 1.1.1.83)	NONE	Hope|MATT FILE|CHRIS FILE	448	1
rxn00160_c0	Tartrate decarboxylase (EC 4.1.1.73)	NONE	CHRIS FILE	448	1
rxn03481_c0	6-phospho-beta-glucosidase (EC 3.2.1.86)	NONE	Hope|MATT FILE|CHRIS FILE	449	1
rxn03481_c0	6-phospho-beta-glucosidase ascB (EC 3.2.1.86)	NONE	Hope|MATT FILE	100161	1
rxn01747_c0	Allantoate amidohydrolase (EC 3.5.3.9)	Allantoin_Utilization	Hope|MATT FILE|CHRIS FILE	455	1
rxn01747_c0	Allantoate amidohydrolase (EC 3.5.3.9)	Allantoin_degradation	Hope|MATT FILE|CHRIS FILE	455	1
rxn01634_c0	5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	The_Tartronate_Semialdehyde_Hub	Hope|MATT FILE|MATT FILE|CHRIS FILE	456	1
rxn01634_c0	5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	456	1
rxn01103_c0	Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	NONE	CHRIS FILE	457	1
rxn01345_c0	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)	NONE	Hope|MATT FILE	100162	1
rxn09125_c0	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1936	1
rxn09065_c0	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE	458	0
rxn01073_c0	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	NONE	Hope|MATT FILE|CHRIS FILE	461	1
rxn01073_c0	Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)	NONE	Hope|MATT FILE|CHRIS FILE	462	1
rxn05175_c0	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Putrescine transport system permease protein PotI (TC 3.A.1.11.2)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	NONE	CHRIS FILE	2046	1
rxn05175_c0	ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	NONE	CHRIS FILE	2046	1
rxn05175_c0	Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	NONE	CHRIS FILE	2046	1
rxn02971_c0	Muconolactone isomerase (EC 5.3.3.4)	NONE	Hope|MATT FILE	100163	1
rxn02971_c0	Muconolactone isomerase (EC 5.3.3.4)	NONE	Hope|MATT FILE	100164	1
rxn00835_c0	Inosine-guanosine kinase (EC 2.7.1.73)	NONE	Hope|MATT FILE	100165	1
rxn08294_c0	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE	1913	1
rxn02332_c0	6-phospho-beta-galactosidase (EC 3.2.1.85)	NONE	Hope|MATT FILE	100166	1
rxn01351_c0	Nucleoside triphosphate pyrophosphohydrolase MazG	NONE	Hope|MATT FILE	100167	1
rxn05381_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	472	1
rxn04938_c0	Glutathione-dependent formaldehyde dehydrogenase (EC 1.2.1.1)	NONE	CHRIS FILE	475	1
rxn00604_c0	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	NONE	Hope|MATT FILE|CHRIS FILE	477	1
rxn00604_c0	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	NONE	Hope|MATT FILE|CHRIS FILE	477	1
rxn05386_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	480	1
rxn12844_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12844_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12844_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12844_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12844_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12844_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12844_c0	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12844_c0	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn05958_c0	S-ribosylhomocysteine lyase (EC 4.4.1.21)	NONE	Hope|MATT FILE|CHRIS FILE	483	1
rxn01678_c0	Nucleoside diphosphate kinase (EC 2.7.4.6)	NONE	Hope|MATT FILE|CHRIS FILE	486	1
rxn08814_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08814_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn01332_c0	Chorismate mutase I (EC 5.4.99.5)	NONE	CHRIS FILE	491	1
rxn01332_c0	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	NONE	Hope|MATT FILE|CHRIS FILE	491	1
rxn01332_c0	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase (EC 2.5.1.54)	NONE	Hope|MATT FILE	100168	1
rxn01332_c0	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	NONE	Hope|MATT FILE	100169	1
rxn01332_c0	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	NONE	Hope|MATT FILE	100170	1
rxn01332_c0	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	NONE	Hope|MATT FILE	100171	1
rxn01858_c0	Adenosine deaminase (EC 3.5.4.4)	NONE	Hope|MATT FILE	100172	1
rxn08657_c0	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	NONE	CHRIS FILE	1679	1
rxn08657_c0	Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	NONE	CHRIS FILE	1679	1
rxn08657_c0	Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE	NONE	CHRIS FILE	1679	1
rxn05428_c0	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	NONE	CHRIS FILE	496	1
rxn08816_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08816_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn01457_c0	Uronate isomerase (EC 5.3.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	499	1
rxn09103_c0	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	NONE	CHRIS FILE	1683	1
rxn09103_c0	Phosphatidylglycerophosphatase A (EC 3.1.3.27)	NONE	CHRIS FILE	1960	1
rxn09208_c0	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	NONE	CHRIS FILE|CHRIS FILE	502	1
rxn09208_c0	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	NONE	CHRIS FILE|CHRIS FILE	1895	1
rxn05567_c0	PTS system, galactitol-specific IIC component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn05567_c0	Phosphocarrier protein of PTS system	NONE	CHRIS FILE	2035	2
rxn05567_c0	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NONE	CHRIS FILE	2035	2
rxn05567_c0	PTS system, galactitol-specific IIB component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn05567_c0	PTS system, galactitol-specific IIA component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn01807_c0	Pyridoxal kinase (EC 2.7.1.35)	NONE	Hope|MATT FILE	100173	1
rxn10060_c0	NAD kinase (EC 2.7.1.23)	NONE	CHRIS FILE	2046	1
rxn05683_c0	Short chain fatty acids transporter	NONE	CHRIS FILE	3059	1
rxn06377_c0	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	NONE	Hope|MATT FILE	100174	1
rxn06377_c0	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	NONE	Hope|MATT FILE	100175	1
rxn06377_c0	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	NONE	Hope|MATT FILE	100176	1
rxn05149_c0	Manganese ABC transporter, ATP-binding protein SitB	NONE	CHRIS FILE	512	1
rxn05149_c0	Manganese ABC transporter, inner membrane permease protein SitC	NONE	CHRIS FILE	512	1
rxn05149_c0	Manganese ABC transporter, inner membrane permease protein SitD	NONE	CHRIS FILE	512	1
rxn05149_c0	Manganese ABC transporter, periplasmic-binding protein SitA	NONE	CHRIS FILE	512	1
rxn00206_c0	Superoxide dismutase [Mn] (EC 1.15.1.1)	NONE	Hope	100177	0
rxn00206_c0	Manganese superoxide dismutase (EC 1.15.1.1)	Nitric_oxide_synthase	Hope|CHRIS FILE	516	1
rxn00206_c0	Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	NONE	CHRIS FILE	1683	1
rxn00206_c0	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	NONE	CHRIS FILE	515	1
rxn00206_c0	Superoxide dismutase [Fe] (EC 1.15.1.1)	NONE	Hope|CHRIS FILE	514	1
rxn00206_c0	Superoxide dismutase [Fe] (EC 1.15.1.1)	NONE	Hope|CHRIS FILE	514	1
rxn10297_c0	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	NONE	CHRIS FILE	2023	1
rxn06474_c0	monoacylglycerol O-acyltransferase 1 (EC 2.3.1.22)	NONE	Hope	100178	0
rxn06981_c0	15,16-dihydrobiliverdin:ferredoxin oxidoreductase PebA (EC 1.3.7.2)	NONE	Hope	100179	0
rxn06145_c0	Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20)	NONE	Hope	100180	0
rxn00762_c0	Glycerol dehydrogenase (EC 1.1.1.6)	NONE	Hope|MATT FILE|MATT FILE	100181	1
rxn00762_c0	Glycerol dehydrogenase (EC 1.1.1.6)	NONE	Hope|MATT FILE|MATT FILE	100182	1
rxn07295_c0	Glycine oxidase ThiO (EC 1.4.3.19)	NONE	Hope|MATT FILE	100183	1
rxn02933_c0	Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)	NONE	CHRIS FILE	531	1
rxn02933_c0	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	NONE	Hope|MATT FILE|CHRIS FILE	531	1
rxn08202_c0	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	NONE	CHRIS FILE	1923	1
rxn00100_c0	Dephospho-CoA kinase archaeal, predicted (EC 2.7.1.24)	NONE	Hope|MATT FILE	100184	1
rxn00100_c0	Dephospho-CoA kinase (EC 2.7.1.24)	NONE	Hope|MATT FILE|CHRIS FILE	532	1
rxn01018_c0	Aspartate carbamoyltransferase (EC 2.1.3.2)	De_Novo_Pyrimidine_Synthesis	Hope|MATT FILE|CHRIS FILE	535	1
rxn01018_c0	Aspartate carbamoyltransferase regulatory chain (PyrI)	De_Novo_Pyrimidine_Synthesis	MATT FILE	100185	1
rxn01018_c0	Aspartate carbamoyltransferase regulatory chain (pyrI)	De_Novo_Pyrimidine_Synthesis	Hope	100186	0
rxn05656_c0	Alkanesulfonates-binding protein	NONE	CHRIS FILE	536	1
rxn05656_c0	Alkanesulfonates transport system permease protein	NONE	CHRIS FILE	536	1
rxn05656_c0	Alkanesulfonates ABC transporter ATP-binding protein	NONE	CHRIS FILE	536	1
rxn05204_c0	Nucleoside permease NupG	NONE	CHRIS FILE	2043	1
rxn00806_c0	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	541	1
rxn00806_c0	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	541	1
rxn02834_c0	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	XXBOB	Hope|MATT FILE|CHRIS FILE	546	1
rxn02834_c0	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	NONE	Hope|MATT FILE|CHRIS FILE	546	1
rxn02834_c0	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	NONE	CHRIS FILE	546	1
rxn10121_c0	Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	2037	1
rxn10121_c0	Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	3059	1
rxn10121_c0	Respiratory nitrate reductase subunit, conjectural (EC 1.7.99.4)	NONE	CHRIS FILE	2038	1
rxn10121_c0	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	679	1
rxn10121_c0	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10121_c0	Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	679	1
rxn10121_c0	Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10121_c0	Respiratory nitrate reductase delta chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	679	1
rxn10121_c0	Respiratory nitrate reductase delta chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10121_c0	Respiratory nitrate reductase beta chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	679	1
rxn10121_c0	Respiratory nitrate reductase beta chain (EC 1.7.99.4)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10121_c0	Periplasmic nitrate reductase precursor (EC 1.7.99.4)	NONE	CHRIS FILE	2039	1
rxn10121_c0	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	NONE	CHRIS FILE	3060	1
rxn00656_c0	Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)	NONE	Hope|MATT FILE	100187	1
rxn05622_c0	catalyses ATP-dependent electrogenic Na+ extrusion without mechanistically coupled H+ or K+ uptake	NONE	CHRIS FILE	2043	1
rxn01830_c0	L-arabinolactonase (EC 3.1.1.15)	NONE	Hope|MATT FILE	100188	1
rxn05334_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	Hope|MATT FILE|CHRIS FILE	551	1
rxn05334_c0	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	NONE	Hope|MATT FILE	100189	1
rxn01053_c0	Predicted rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	NONE	CHRIS FILE	552	1
rxn01053_c0	Predicted lactaldehyde dehydrogenase (EC 1.2.1.22)	NONE	Hope|MATT FILE|CHRIS FILE	552	1
rxn01053_c0	Aldehyde dehydrogenase B (EC 1.2.1.22)	NONE	Hope|MATT FILE	100190	1
rxn01053_c0	Lactaldehyde dehydrogenase involved in fucose or rhamnose utilization (EC 1.2.1.22)	NONE	Hope|MATT FILE|MATT FILE	100191	1
rxn01053_c0	Lactaldehyde dehydrogenase involved in fucose or rhamnose utilization (EC 1.2.1.22)	NONE	Hope|MATT FILE|MATT FILE	100192	1
rxn01053_c0	Aldehyde dehydrogenase A (EC 1.2.1.22)	NONE	Hope|MATT FILE	100193	1
rxn02341_c0	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	NONE	CHRIS FILE	554	1
rxn02341_c0	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	NONE	Hope|MATT FILE|CHRIS FILE	554	1
rxn06022_c0	Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	NONE	Hope|MATT FILE	100194	1
rxn09310_c0	Sulfur carrier protein adenylyltransferase ThiF	NONE	CHRIS FILE	3011	1
rxn09310_c0	Thiazole biosynthesis protein ThiG	NONE	CHRIS FILE	3011	1
rxn09310_c0	Cysteine desulfurase (EC 2.8.1.7)	NONE	CHRIS FILE	3011	1
rxn09310_c0	Thiazole biosynthesis protein ThiH	NONE	CHRIS FILE	3011	1
rxn09310_c0	Sulfur carrier protein ThiS	NONE	CHRIS FILE	3011	1
rxn09310_c0	Thiamine biosynthesis protein thiI	NONE	CHRIS FILE	3011	1
rxn03175_c0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	XXBOB	Hope|MATT FILE|MATT FILE|CHRIS FILE	555	1
rxn03175_c0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	555	1
rxn03175_c0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	555	1
rxn00829_c0	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	NONE	Hope|MATT FILE	100195	1
rxn00829_c0	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	NONE	Hope|MATT FILE	100196	1
rxn00829_c0	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	NONE	Hope|MATT FILE	100197	1
rxn00829_c0	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	NONE	Hope|MATT FILE	100198	1
rxn00157_c0	Pyruvate formate-lyase (EC 2.3.1.54)	NONE	Hope|MATT FILE	100199	1
rxn00157_c0	Pyruvate formate-lyase (EC 2.3.1.54)	NONE	Hope|MATT FILE	100200	1
rxn00157_c0	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	NONE	CHRIS FILE	1683	1
rxn09157_c0	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1852	1
rxn00990_c0	Acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	NONE	CHRIS FILE	1844	1
rxn00990_c0	Acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	NONE	CHRIS FILE	1844	1
rxn10152_c0	Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	NONE	CHRIS FILE	1637	1
rxn10945_c0	L-Proline/Glycine betaine transporter ProP	NONE	CHRIS FILE	2033	1
rxn10292_c0	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	NONE	CHRIS FILE	2023	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase chain 5 (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase chain J (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase chain H (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase chain K (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn08978_c0	NAD(P)H-quinone oxidoreductase chain I (EC 1.6.5.2)	NONE	CHRIS FILE	2027	1
rxn05500_c0	Arabinose-proton symporter	NONE	CHRIS FILE	562	1
rxn01518_c0	Thymidine kinase (EC 2.7.1.21)	NONE	Hope|MATT FILE|CHRIS FILE	561	1
rxn05649_c0	D-serine/D-alanine/glycine transporter	NONE	CHRIS FILE	563	1
rxn05649_c0	D-serine D-alanine glycine transporter	NONE	CHRIS FILE	1667	1
rxn10219_c0	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NONE	CHRIS FILE	566	1
rxn00786_c0	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	NONE	Hope|Hope|MATT FILE|MATT FILE	100201	1
rxn00786_c0	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	NONE	Hope|MATT FILE|MATT FILE	100202	1
rxn00786_c0	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	Fructose-bisphosphate_aldolase_protein_family	Hope|MATT FILE|MATT FILE	100203	1
rxn00786_c0	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	NONE	Hope|MATT FILE|MATT FILE	100204	1
rxn00786_c0	Fructose-bisphosphate aldolase, archaeal class I (EC 4.1.2.13)	NONE	Hope|MATT FILE	100205	1
rxn00786_c0	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	NONE	Hope|Hope|MATT FILE|MATT FILE|CHRIS FILE	567	1
rxn00786_c0	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	567	1
rxn00786_c0	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	Fructose-bisphosphate_aldolase_protein_family	Hope|MATT FILE|MATT FILE|CHRIS FILE	567	1
rxn00786_c0	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	567	1
rxn11667_c0	Mg-protoporphyrin IX monomethyl ester oxidative cyclase (anaerobic) (EC 1.14.13.81)	NONE	Hope	100206	0
rxn03034_c0	Homoaconitase small subunit (EC 4.2.1.36)	NONE	Hope|MATT FILE	100207	1
rxn03034_c0	Homoaconitase large subunit (EC 4.2.1.36)	NONE	Hope|MATT FILE	100208	1
rxn03034_c0	Homoaconitase (EC 4.2.1.36)	NONE	Hope|MATT FILE	100209	1
rxn09128_c0	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1939	1
rxn01223_c0	Deoxycytidylate 5-hydroxymethyltransferase (EC 2.1.2.8)	NONE	Hope|MATT FILE	100210	1
rxn01438_c0	Kynurenine 3-monooxygenase (EC 1.14.13.9)	NONE	Hope|MATT FILE	100211	1
rxn02318_c0	Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)	NONE	Hope|MATT FILE	100212	1
rxn02318_c0	Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	NONE	Hope|MATT FILE	100213	1
rxn00607_c0	Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	580	1
rxn00607_c0	Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	580	1
rxn04020_c0	Trehalose 6-phosphate phosphorylase (EC 2.4.1.216)	NONE	Hope|MATT FILE	100214	1
rxn10320_c0	Poly(glycerophosphate chain) D-alanine transfer protein DltD	NONE	CHRIS FILE	2025	1
rxn05354_c0	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	NONE	Hope|MATT FILE|CHRIS FILE	581	1
rxn00074_c0	Cob(II)alamin reductase	NONE	MATT FILE	100215	1
rxn00408_c0	Adenosine diphosphatase (EC 3.6.1.5)	NONE	Hope|MATT FILE	100216	1
rxn01637_c0	Acetylornithine aminotransferase 1 (EC 2.6.1.11)	NONE	CHRIS FILE	1683	1
rxn01637_c0	Acetylornithine aminotransferase (EC 2.6.1.11)	NONE	Hope|MATT FILE|CHRIS FILE	582	1
rxn01637_c0	Acetylornithine aminotransferase (EC 2.6.1.11)	NONE	Hope|MATT FILE|CHRIS FILE	582	1
rxn05158_c0	Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	NONE	CHRIS FILE	3012	1
rxn05158_c0	SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	NONE	CHRIS FILE	3011	1
rxn05158_c0	SN-glycerol-3-phosphate transport system permease protein UgpA (TC 3.A.1.1.3)	NONE	CHRIS FILE	3014	1
rxn05158_c0	SN-glycerol-3-phosphate transport system permease protein UgpE (TC 3.A.1.1.3)	NONE	CHRIS FILE	3013	1
R02607_c0	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	NONE	CHRIS FILE	307	1
rxn00605_c0	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)	NONE	Hope|MATT FILE	100217	1
rxn00379_c0	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	NONE	Hope|MATT FILE	100218	1
rxn00379_c0	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	NONE	Hope|MATT FILE	100219	1
rxn00379_c0	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	NONE	Hope|MATT FILE	100220	1
rxn00379_c0	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	NONE	Hope|MATT FILE	100221	1
rxn00379_c0	Sulfate adenylyltransferase, dissimilatory-type (EC 2.7.7.4)	NONE	Hope|MATT FILE|CHRIS FILE	586	1
rxn00379_c0	Sulfate adenylyltransferase, dissimilatory-type (EC 2.7.7.4)	NONE	Hope|MATT FILE|CHRIS FILE	586	1
rxn08803_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08803_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn09674_c0	lysine specific permease	NONE	CHRIS FILE	3068	1
rxn09674_c0	Lysine-specific permease	NONE	CHRIS FILE	3067	1
rxn00689_c0	Dihydrofolate synthase (EC 6.3.2.12)	NONE	CHRIS FILE	595	1
rxn00689_c0	Folylpolyglutamate synthase (EC 6.3.2.17)	NONE	Hope|MATT FILE|CHRIS FILE	595	1
rxn00689_c0	Alternative Folylglutamate Synthase	NONE	Hope|MATT FILE	100222	1
rxn05164_c0	Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)	NONE	CHRIS FILE	3012	1
rxn05164_c0	Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)	NONE	CHRIS FILE	3011	1
rxn05164_c0	Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)	NONE	CHRIS FILE	3013	1
rxn05164_c0	Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)	NONE	CHRIS FILE	597	1
rxn03953_c0	L-idonate 5-dehydrogenase (EC 1.1.1.264)	NONE	Hope|MATT FILE	100223	1
rxn01122_c0	Altronate hydrolase (EC 4.2.1.7)	NONE	Hope|MATT FILE|CHRIS FILE	603	1
rxn04602_c0	3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-)	NONE	Hope|MATT FILE	100224	1
rxn12640_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12640_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12640_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12640_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12640_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12640_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
